Date,Stock_ID,Open,High,Low,Close,Volume
2025-09-15,3017.TW,1070.0,1095.0,1040.0,1045.0,9610862
2025-09-16,3017.TW,1060.0,1070.0,1030.0,1040.0,7018668
2025-09-17,3017.TW,1030.0,1040.0,999.0,1005.0,6315801
2025-09-18,3017.TW,1015.0,1065.0,1000.0,1055.0,7811721
2025-09-19,3017.TW,1070.0,1075.0,1030.0,1040.0,6282208
2025-09-22,3017.TW,1045.0,1055.0,1010.0,1015.0,5052430
2025-09-23,3017.TW,1060.0,1080.0,1010.0,1015.0,6488212
2025-09-24,3017.TW,997.0,1000.0,950.0,994.0,10312865
2025-09-25,3017.TW,974.0,997.0,959.0,960.0,7579919
2025-09-26,3017.TW,957.0,964.0,937.0,941.0,5357455
2025-09-30,3017.TW,956.0,988.0,956.0,981.0,5875856
2025-10-01,3017.TW,988.0,1030.0,986.0,1025.0,9168707
2025-10-02,3017.TW,1075.0,1120.0,1065.0,1100.0,14311648
2025-10-03,3017.TW,1115.0,1165.0,1090.0,1165.0,11427599
2025-10-07,3017.TW,1195.0,1200.0,1135.0,1150.0,9230028
2025-10-08,3017.TW,1150.0,1160.0,1110.0,1145.0,7029325
2025-10-09,3017.TW,1165.0,1175.0,1130.0,1170.0,6080341
2025-10-13,3017.TW,1085.0,1160.0,1085.0,1160.0,6708911
2025-10-14,3017.TW,1180.0,1230.0,1155.0,1155.0,12839292
2025-10-15,3017.TW,1180.0,1230.0,1165.0,1220.0,9608767
2025-10-16,3017.TW,1230.0,1230.0,1180.0,1195.0,5410652
2025-10-17,3017.TW,1190.0,1220.0,1145.0,1150.0,6900446
2025-10-20,3017.TW,1170.0,1175.0,1135.0,1140.0,6060554
2025-10-21,3017.TW,1150.0,1200.0,1150.0,1155.0,5691524
2025-10-22,3017.TW,1130.0,1180.0,1120.0,1175.0,4378511
2025-10-23,3017.TW,1160.0,1175.0,1150.0,1170.0,3692328
2025-10-27,3017.TW,1205.0,1220.0,1180.0,1190.0,5745794
2025-10-28,3017.TW,1245.0,1305.0,1240.0,1300.0,13049386
2025-10-29,3017.TW,1320.0,1335.0,1290.0,1330.0,7697303
2025-10-30,3017.TW,1370.0,1425.0,1360.0,1410.0,11331052
2025-10-31,3017.TW,1440.0,1440.0,1395.0,1425.0,6700421
2025-11-03,3017.TW,1450.0,1495.0,1445.0,1495.0,6442390
2025-11-04,3017.TW,1510.0,1510.0,1430.0,1435.0,5517289
2025-11-05,3017.TW,1395.0,1475.0,1390.0,1445.0,10733047
2025-11-06,3017.TW,1485.0,1510.0,1470.0,1495.0,6353435
2025-11-07,3017.TW,1480.0,1510.0,1465.0,1465.0,5987568
2025-11-10,3017.TW,1505.0,1570.0,1460.0,1550.0,7976463
2025-11-11,3017.TW,1560.0,1570.0,1520.0,1540.0,7258844
2025-11-12,3017.TW,1555.0,1585.0,1500.0,1505.0,7683395
2025-11-13,3017.TW,1505.0,1515.0,1470.0,1495.0,6499940
2025-11-14,3017.TW,1435.0,1455.0,1400.0,1420.0,9079417
2025-11-17,3017.TW,1435.0,1460.0,1410.0,1420.0,4932306
2025-11-18,3017.TW,1400.0,1410.0,1370.0,1370.0,5524709
2025-11-19,3017.TW,1355.0,1385.0,1335.0,1340.0,5241748
2025-11-20,3017.TW,1420.0,1420.0,1330.0,1335.0,8564629
2025-11-21,3017.TW,1250.0,1280.0,1205.0,1240.0,12370568
2025-11-24,3017.TW,1260.0,1260.0,1210.0,1245.0,7875892
2025-11-25,3017.TW,1300.0,1340.0,1240.0,1315.0,10337601
2025-11-26,3017.TW,1350.0,1390.0,1340.0,1385.0,8053241
2025-11-27,3017.TW,1400.0,1420.0,1370.0,1395.0,6437552
2025-11-28,3017.TW,1405.0,1410.0,1375.0,1375.0,4417677
2025-12-01,3017.TW,1380.0,1385.0,1330.0,1340.0,4670110
2025-12-02,3017.TW,1360.0,1410.0,1310.0,1315.0,7298967
2025-12-03,3017.TW,1340.0,1365.0,1320.0,1355.0,5634614
2025-12-04,3017.TW,1370.0,1385.0,1325.0,1325.0,5307245
2025-12-05,3017.TW,1345.0,1405.0,1340.0,1385.0,8021119
2025-12-08,3017.TW,1400.0,1400.0,1370.0,1385.0,3734437
2025-12-09,3017.TW,1400.0,1430.0,1380.0,1410.0,6528252
2025-12-10,3017.TW,1415.0,1430.0,1390.0,1425.0,4566907
2025-12-11,3017.TW,1445.0,1450.0,1405.0,1430.0,6634551
2025-12-12,3017.TW,1460.0,1485.0,1425.0,1425.0,5685160
2025-12-15,3017.TW,1375.0,1390.0,1365.0,1380.0,5303802
2025-12-16,3017.TW,1365.0,1390.0,1340.0,1345.0,4332822
2025-12-17,3017.TW,1350.0,1380.0,1340.0,1340.0,2831291
2025-12-18,3017.TW,1330.0,1365.0,1325.0,1360.0,1866410
2025-12-19,3017.TW,1385.0,1450.0,1380.0,1450.0,5930037
2025-12-22,3017.TW,1495.0,1505.0,1465.0,1475.0,5044154
2025-12-23,3017.TW,1485.0,1510.0,1475.0,1510.0,3819676
2025-12-24,3017.TW,1520.0,1525.0,1485.0,1500.0,2517267
2025-12-26,3017.TW,1505.0,1520.0,1495.0,1520.0,2322343
2025-12-29,3017.TW,1520.0,1550.0,1505.0,1545.0,3279546
2025-12-30,3017.TW,1530.0,1550.0,1525.0,1530.0,1830333
2025-12-31,3017.TW,1530.0,1560.0,1510.0,1510.0,3169019
2026-01-02,3017.TW,1535.0,1540.0,1440.0,1455.0,5368381
2026-01-05,3017.TW,1450.0,1465.0,1430.0,1450.0,4128760
2026-01-06,3017.TW,1480.0,1490.0,1410.0,1425.0,6261562
2026-01-07,3017.TW,1440.0,1460.0,1375.0,1375.0,7766610
2026-01-08,3017.TW,1350.0,1410.0,1345.0,1355.0,7288326
2026-01-09,3017.TW,1370.0,1415.0,1360.0,1375.0,6525869
2026-01-12,3017.TW,1395.0,1400.0,1340.0,1355.0,5240176
2026-01-13,3017.TW,1375.0,1390.0,1335.0,1345.0,4285306
2026-01-14,3017.TW,1365.0,1425.0,1360.0,1420.0,5943724
2026-01-15,3017.TW,1420.0,1425.0,1360.0,1380.0,4936072
2026-01-16,3017.TW,1395.0,1395.0,1350.0,1360.0,4502061
2026-01-19,3017.TW,1355.0,1360.0,1275.0,1280.0,8436455
2026-01-20,3017.TW,1275.0,1305.0,1265.0,1295.0,4572793
2026-01-21,3017.TW,1285.0,1310.0,1280.0,1280.0,3389436
2026-01-22,3017.TW,1320.0,1370.0,1265.0,1355.0,7432189
