Date,Stock_ID,Open,High,Low,Close,Volume
2025-09-15,2317.TW,218.5,218.5,213.0,216.0,55330938
2025-09-16,2317.TW,217.0,217.0,213.5,215.5,49662786
2025-09-17,2317.TW,214.0,214.5,211.0,212.0,55894730
2025-09-18,2317.TW,211.5,216.0,208.0,215.0,78891977
2025-09-19,2317.TW,216.5,217.0,214.0,214.0,56361409
2025-09-22,2317.TW,215.5,218.0,214.0,216.0,33805955
2025-09-23,2317.TW,218.0,222.0,217.5,221.0,103442188
2025-09-24,2317.TW,222.0,223.0,219.0,223.0,64385629
2025-09-25,2317.TW,223.0,231.0,222.5,230.0,123630302
2025-09-26,2317.TW,230.0,230.5,218.5,219.5,116991800
2025-09-30,2317.TW,224.0,224.0,215.5,216.0,87033036
2025-10-01,2317.TW,219.0,222.0,216.0,219.0,57644055
2025-10-02,2317.TW,221.5,226.0,221.0,225.5,71706441
2025-10-03,2317.TW,226.0,228.0,224.5,226.5,51488648
2025-10-07,2317.TW,230.0,231.5,225.0,228.5,64479912
2025-10-08,2317.TW,225.0,225.5,222.0,225.0,48654405
2025-10-09,2317.TW,227.0,227.0,221.0,221.5,54969959
2025-10-13,2317.TW,210.0,216.0,210.0,213.0,105751618
2025-10-14,2317.TW,216.0,217.5,205.0,206.0,103962992
2025-10-15,2317.TW,207.5,208.0,203.0,206.5,63725983
2025-10-16,2317.TW,215.0,225.5,211.5,223.0,150705656
2025-10-17,2317.TW,224.0,230.0,222.5,226.5,117393949
2025-10-20,2317.TW,230.0,239.5,229.0,238.5,149270185
2025-10-21,2317.TW,241.5,245.5,238.0,239.0,117969555
2025-10-22,2317.TW,238.0,243.0,236.5,242.5,69466417
2025-10-23,2317.TW,240.0,240.5,238.0,239.0,47487658
2025-10-27,2317.TW,249.0,249.0,243.0,246.5,78976148
2025-10-28,2317.TW,248.0,250.0,246.5,250.0,72210529
2025-10-29,2317.TW,254.0,263.0,253.0,260.0,122095968
2025-10-30,2317.TW,262.5,265.0,256.5,262.0,105395242
2025-10-31,2317.TW,261.0,262.0,257.0,257.5,60671044
2025-11-03,2317.TW,255.0,256.5,250.0,251.5,92588580
2025-11-04,2317.TW,252.0,255.0,244.0,244.0,91077032
2025-11-05,2317.TW,239.0,248.5,237.0,247.0,111699424
2025-11-06,2317.TW,249.5,250.5,246.0,248.0,64418664
2025-11-07,2317.TW,246.0,250.5,244.0,244.0,48667340
2025-11-10,2317.TW,245.0,250.0,244.0,249.5,50699016
2025-11-11,2317.TW,251.0,252.0,246.5,246.5,49323677
2025-11-12,2317.TW,248.0,252.0,245.0,251.0,63578429
2025-11-13,2317.TW,256.0,256.0,247.0,252.0,89314039
2025-11-14,2317.TW,246.5,247.0,241.0,241.0,107025603
2025-11-17,2317.TW,241.0,242.0,235.0,236.0,82230187
2025-11-18,2317.TW,231.5,237.0,230.0,230.0,74877047
2025-11-19,2317.TW,226.5,230.0,226.5,229.0,69017030
2025-11-20,2317.TW,237.0,238.0,232.5,236.5,77074387
2025-11-21,2317.TW,226.0,229.5,225.0,225.0,92224538
2025-11-24,2317.TW,226.5,227.0,220.0,220.0,96559056
2025-11-25,2317.TW,225.0,226.0,219.0,219.0,71531864
2025-11-26,2317.TW,221.0,228.0,221.0,227.0,67295295
2025-11-27,2317.TW,229.0,232.0,226.0,231.0,62010923
2025-11-28,2317.TW,229.5,229.5,225.0,225.5,55419918
2025-12-01,2317.TW,225.0,226.0,222.0,222.0,50775578
2025-12-02,2317.TW,220.5,225.0,220.5,222.0,48093660
2025-12-03,2317.TW,225.0,230.0,225.0,227.0,51488715
2025-12-04,2317.TW,230.0,230.0,227.5,228.5,25112739
2025-12-05,2317.TW,229.0,231.5,228.5,231.0,34284096
2025-12-08,2317.TW,231.5,232.0,229.0,232.0,29235914
2025-12-09,2317.TW,233.0,236.5,232.0,235.0,53342004
2025-12-10,2317.TW,236.0,236.0,232.0,233.5,35301661
2025-12-11,2317.TW,234.0,234.5,226.0,226.0,56426793
2025-12-12,2317.TW,227.0,228.5,225.0,227.0,28800768
2025-12-15,2317.TW,221.0,223.0,220.5,221.5,41393524
2025-12-16,2317.TW,220.0,220.5,215.0,218.0,59731441
2025-12-17,2317.TW,218.0,219.5,216.0,216.5,41170423
2025-12-18,2317.TW,214.5,217.0,213.5,216.0,47662851
2025-12-19,2317.TW,219.0,221.5,218.0,221.5,40816061
2025-12-22,2317.TW,224.5,225.5,223.0,224.0,39334152
2025-12-23,2317.TW,225.5,226.0,223.5,224.0,29072621
2025-12-24,2317.TW,225.5,227.5,224.0,224.0,35691897
2025-12-26,2317.TW,225.5,227.5,224.5,225.5,28309367
2025-12-29,2317.TW,227.0,233.0,226.5,231.0,56570767
2025-12-30,2317.TW,230.5,231.0,228.0,228.0,35182695
2025-12-31,2317.TW,228.5,231.5,228.0,230.5,40505358
2026-01-02,2317.TW,232.0,233.5,229.0,232.0,57704460
2026-01-05,2317.TW,234.5,236.0,233.5,234.5,63164221
2026-01-06,2317.TW,237.0,239.0,232.5,236.0,63939915
2026-01-07,2317.TW,237.5,241.5,235.0,238.5,82446725
2026-01-08,2317.TW,237.5,237.5,228.5,229.5,85561505
2026-01-09,2317.TW,230.0,232.0,227.0,230.5,36453268
2026-01-12,2317.TW,233.0,233.0,228.5,228.5,31525354
2026-01-13,2317.TW,230.0,230.5,226.0,226.5,42839849
2026-01-14,2317.TW,228.0,234.5,227.5,234.5,63677855
2026-01-15,2317.TW,234.0,234.0,231.0,233.5,34263022
2026-01-16,2317.TW,235.0,235.0,231.0,234.5,47340006
2026-01-19,2317.TW,233.5,233.5,229.0,229.5,51232322
2026-01-20,2317.TW,228.5,228.5,223.5,223.5,73125523
2026-01-21,2317.TW,221.0,225.0,219.0,219.0,72461575
2026-01-22,2317.TW,223.5,226.0,222.0,223.5,46717048
2026-01-23,2317.TW,225.5,226.5,221.5,221.5,32682740
2026-01-26,2317.TW,222.5,225.0,220.0,224.0,38021744
2026-01-27,2317.TW,226.0,227.0,224.0,225.5,35936182
2026-01-28,2317.TW,227.0,231.5,224.0,225.5,77656661
2026-01-29,2317.TW,226.5,227.5,222.0,224.0,54347878
2026-01-30,2317.TW,223.5,223.5,218.5,220.5,68997336
2026-02-02,2317.TW,219.5,220.0,213.5,214.5,61482988
2026-02-03,2317.TW,218.5,220.0,214.5,216.5,40387110
2026-02-04,2317.TW,214.5,219.0,214.0,219.0,26990407
2026-02-05,2317.TW,217.5,220.0,215.0,215.5,41975910
2026-02-06,2317.TW,215.0,216.5,210.5,215.0,54938386
2026-02-09,2317.TW,219.0,220.5,217.5,218.5,30183295
2026-02-10,2317.TW,220.0,222.0,218.0,221.0,46182261
2026-02-11,2317.TW,222.5,227.0,220.5,227.0,65872532
2026-02-23,2317.TW,229.5,231.0,227.0,228.5,81100478
2026-02-24,2317.TW,229.5,232.5,228.0,232.0,66757493
2026-02-25,2317.TW,235.0,247.0,234.5,246.5,162158621
2026-02-26,2317.TW,253.5,253.5,241.5,243.0,117910827
2026-03-02,2317.TW,234.0,241.0,232.5,239.0,72894162
2026-03-03,2317.TW,239.0,240.0,228.0,229.0,84561556
2026-03-04,2317.TW,224.5,225.0,216.5,217.0,117264053
2026-03-05,2317.TW,224.5,228.0,222.0,224.0,54395081
2026-03-06,2317.TW,221.0,223.5,219.0,223.0,36562334
2026-03-09,2317.TW,208.0,212.5,206.0,210.5,89078875
2026-03-10,2317.TW,216.0,216.5,209.5,209.5,66168862
2026-03-11,2317.TW,212.5,220.0,212.5,219.0,53568046
2026-03-12,2317.TW,217.0,218.5,213.0,214.5,42953811
2026-03-13,2317.TW,211.5,216.0,210.0,214.5,35894769
2026-03-16,2317.TW,216.0,217.5,214.0,216.5,37886518
2026-03-17,2317.TW,215.5,216.5,212.0,212.0,106419159
2026-03-18,2317.TW,212.5,213.5,210.0,210.0,72625994
2026-03-19,2317.TW,207.5,207.5,205.0,205.0,83275296
2026-03-20,2317.TW,203.5,205.0,200.5,203.0,89100557
2026-03-23,2317.TW,196.5,197.5,195.0,196.0,73041333
2026-03-24,2317.TW,198.5,199.5,194.0,195.0,53882508
2026-03-25,2317.TW,200.0,201.0,197.0,200.0,40930016
2026-03-26,2317.TW,202.5,206.0,200.5,200.5,40681455
2026-03-27,2317.TW,197.0,200.5,196.5,199.5,28552049
2026-03-30,2317.TW,194.5,195.5,193.0,194.0,44238703
2026-03-31,2317.TW,191.0,192.5,187.5,187.5,85781264
2026-04-01,2317.TW,195.0,197.5,194.5,197.0,44327183
2026-04-02,2317.TW,198.0,199.0,191.5,193.0,36299062
2026-04-07,2317.TW,195.0,195.5,189.5,192.0,35130860
2026-04-08,2317.TW,196.5,202.0,196.5,201.5,65536699
2026-04-09,2317.TW,201.0,201.5,198.0,200.0,40511384
2026-04-10,2317.TW,200.5,202.5,199.5,200.5,55780853
2025-09-15,2382.TW,275.0,276.5,272.5,276.0,21450898
2025-09-16,2382.TW,276.5,277.0,273.0,273.5,16421165
2025-09-17,2382.TW,273.5,278.0,273.0,273.0,13008415
2025-09-18,2382.TW,275.0,279.5,273.0,279.5,19916772
2025-09-19,2382.TW,280.5,285.0,279.5,281.0,26438451
2025-09-22,2382.TW,281.5,283.5,279.5,281.0,13390326
2025-09-23,2382.TW,283.0,288.0,283.0,286.5,34172011
2025-09-24,2382.TW,283.0,284.0,280.0,283.5,29120539
2025-09-25,2382.TW,281.5,288.0,280.0,285.0,21951726
2025-09-26,2382.TW,287.0,289.0,279.0,285.0,29092816
2025-09-30,2382.TW,288.0,298.0,287.5,290.0,40461798
2025-10-01,2382.TW,293.0,297.5,285.5,286.5,35534245
2025-10-02,2382.TW,292.0,295.0,289.5,294.0,30153788
2025-10-03,2382.TW,294.5,300.0,294.0,300.0,39470731
